url,title,price,body_type,city_fuel_economy,cylinder,doors,drivetrain,engine,exterior_colour,fuel_type,hwy_fuel_economy,interior_colour,kilometres,passengers,status,stock_number,transmission,trim
https://www.autotrader.ca/a/nissan/rogue/toronto/ontario/5_64199391_on20080430102916422/,2020 Nissan Rogue Keyless Entry | Auto High-beam Headlights | CarPla,18588,SUV,9.6L/100km,4,4,AWD,2.5L 4-Cylinder DOHC 16V,Pearl White,Gas,7.5L/100km,,84185,,Used,P24124,CVT,Keyless Entry | Auto High-beam Headlights | CarPla
https://www.autotrader.ca/a/chrysler/300/st.%20catharines/ontario/5_65685070_on20071212112139827/,2016 Chrysler 300 300S RWD,17988,Sedan,12.4L/100km,6,4,RWD,6 Cylinder Engine,Dark Grey,Gas,7.7L/100km,Black,88331,5,Used,7692AA,8 Speed Automatic,300S RWD
https://www.autotrader.ca/a/lincoln/corsair/vaughan/ontario/5_64932551_20100413072040807/,2021 Lincoln Corsair Reserve AWD,32588,SUV,11.1L/100km,4,2,4WD,4 Cylinder Engine,Infinite Black,Gas,8.1L/100km,,68675,,Used,S0078A,Automatic,Reserve AWD
https://www.autotrader.ca/a/hyundai/santa%20fe/mississauga/ontario/5_65741826_20201111194156128/,2019 Hyundai Santa Fe Essential,19995,SUV,10.7L/100km,4,,FWD,4 Cylinder Engine,Twilight Black,Gas,8.2L/100km,,119261,,Used,3400A,8 Speed Automatic,Essential
https://www.autotrader.ca/a/honda/cr-v/georgetown/ontario/5_65764203_on20080219110952672/,2020 Honda CR-V CRV LX 2WD-REMOTE START/ALLOYS/ONLY 68K!,23995,SUV,8.3L/100km,4,4,FWD,4 Cylinder Engine,Platinum White Pearl,Gas,7.0L/100km,Black,68181,5,Used,P8363,CVT,CRV LX 2WD-REMOTE START/ALLOYS/ONLY 68K!
https://www.autotrader.ca/a/chevrolet/corvette/mississauga/ontario/5_65794688_on20070704162546369/,2008 Chevrolet Corvette  Z06 2LZ 505HP!,64888,Coupe,15.7L/100km,8,2,RWD,8 Cylinder Engine,Victory Red,Gas,9.8L/100km,Black,60908,2,Used,UM26420,Manual,Z06 2LZ 505HP!
https://www.autotrader.ca/a/hyundai/genesis/ajax/ontario/5_65749711_20151211101842274/,2015 Hyundai Genesis Ultimate,18888,Sedan,15.7L/100km,8,4,AWD,V8,Empire State Grey Metallic,Gas,10.2L/100km,Black,105800,,Used,P6540,8 Speed Automatic,Ultimate
https://www.autotrader.ca/a/audi/a5/vaughan/ontario/5_65774967_on20070704174654010/,2021 Audi A5 Sportback Progressiv 2.0 TFSI quattro,37999,Hatchback,,4,4,AWD,Intercooled Turbo Gas/Electric I-4 2.0 L/121,Quantum Grey,Gasoline Hybrid,,Black,66785,5,Used,C11969,Automatic,Progressiv 2.0 TFSI quattro
https://www.autotrader.ca/a/bmw/m8/north%20york/ontario/5_65753620_20111122164021627/,2020 BMW M8 M8 Coupe,97980,Coupe,,8,2,AWD,8 Cylinder Engine,Silver,Gas,,,51048,,Used,D86084,Automatic,M8 Coupe
https://www.autotrader.ca/a/tesla/cybertruck/oakville/ontario/5_65779769_20110304063946741/,2024 Tesla Cybertruck FOUNDATION AWD | 1 OWNER! SUPER CLEAN! LOADED!,119950,Truck,,,4,AWD,Electric Motor,Stainless Steel,Electric,,Black,9799,5,Used,1-25-026,1 Speed Automatic,FOUNDATION AWD | 1 OWNER! SUPER CLEAN! LOADED!
https://www.autotrader.ca/a/toyota/sequoia/kitchener/ontario/5_65785304_20160405145950871/,2022 Toyota Sequoia Limited,59988,SUV,18.5L/100km,8,,4x4,5.7L 8Cyl,Magnetic Grey Metallic,Gas,13.9L/100km,,72200,,Used,255225,6 Speed Automatic,Limited
https://www.autotrader.ca/a/mazda/cx-70%20mhev/vaughan/ontario/5_65617762_20230620200618904/,2025 Mazda CX-70 MHEV MHEV HYBRID AWD | LEATHER | SUNROOF | CARPLAY,49854,,,6,4,AWD,6 cyl,Machine Grey Metallic,Gas,,,4840,,Used,250369,Automatic,MHEV HYBRID AWD | LEATHER | SUNROOF | CARPLAY
https://www.autotrader.ca/a/nissan/armada/hamilton/ontario/5_64255516_20210521164735769/,"2024 Nissan Armada SL Pkg | Only 10,000 kilo | Nissan Company Vehicle",59998,SUV,17.5L/100km,8,4,4x4,Regular Unleaded V-8 5.6 L/339,Aspen White TriCoat,Gas,12.9L/100km,,10064,8,Used,U3270,Automatic,"SL Pkg | Only 10,000 kilo | Nissan Company Vehicle"
https://www.autotrader.ca/a/volkswagen/atlas/mississauga/ontario/5_65773753_on20080331102336047/,2022 Volkswagen Atlas Highline  No Accident Digital Dash Leather Fender,38995,SUV,13.8L/100km,6,4,AWD,276HP 3.6L V6 Cylinder Engine,Platinum Gray Metallic,Gas,10.2L/100km,Black,43158,,Used,16941,8 Speed Automatic,Highline  No Accident Digital Dash Leather Fender
https://www.autotrader.ca/a/audi/sq6%20e-tron/thornhill/ontario/5_65439782_20200727174341421/,2025 Audi SQ6 e-tron Technik TECHNIK,106556,SUV,,,4,AWD,0L 1cyl.,Glacier White Metallic,Electric,,Red,90,,New,N14289,Automatic,Technik TECHNIK
https://www.autotrader.ca/a/chevrolet/corvette/richmond%20hill/ontario/5_65669622_on20070704162425760/,2019 Chevrolet Corvette Z06 2LZ- Performance Exhaust | Ventilated Seats,96993,Coupe,15.6L - 17.6L/100km,8,2,RWD,6.2L V8,Red,Gas,10.3L - 10.6L/100km,Black,36727,2,Used,U601076,8 Speed Automatic,Z06 2LZ- Performance Exhaust | Ventilated Seats
https://www.autotrader.ca/a/ford/f-150/caledonia/ontario/5_65739958_on20080213111258179/,2018 Ford F-150 Platinum  - Local - One owner,42950,Crew Cab,14.2L/100km,6,4,4x4,3.5L V6 24V PDI DOHC Twin Turbo,White Platinum Metallic Tri-Coat,Gas,10.4L/100km,,70000,,Used,5T7944A,Automatic,Platinum  - Local - One owner
https://www.autotrader.ca/a/cadillac/escalade%20esv/mississauga/ontario/5_65628267_20240221151138307/,2022 Cadillac Escalade ESV Premium Luxury Pano Sunroof | Navi | 360 Backup Ca,92999,SUV,16.3L/100km,8,4,4x4,8 Cylinder Engine 6.2L/376CI,Black Raven,Gas,12.7L/100km,Black,60213,,Used,276247TU,Automatic,Premium Luxury Pano Sunroof | Navi | 360 Backup Ca
https://www.autotrader.ca/a/nissan/rogue/ajax/ontario/5_65735391_on20080514103912062/,2019 Nissan Rogue CLEAN CARFAX | FULLY LOADED | BOSE | 360 CAM | LEA,21499,SUV,9.6L/100km,4,,AWD,4 Cylinder Engine,Magnetic Black Metallic,Gas,7.5L/100km,Charcoal,89012,,Used,A268A,CVT,CLEAN CARFAX | FULLY LOADED | BOSE | 360 CAM | LEA
https://www.autotrader.ca/a/chevrolet/blazer/toronto/ontario/5_65755203_20091022080709197/,2024 Chevrolet Blazer 2LT AWD,36998,SUV,12.8L/100km,6,4,AWD,3.6L V6 DOHC 24V,White,Gas,9.1L/100km,Grey,14543,5,Used,UMT1805,Automatic,2LT AWD
https://www.autotrader.ca/a/mazda/mazda3/mississauga/ontario/5_65334285_on20080721120343642/,2022 Mazda Mazda3 GS at 1 OWNER|DILAWRI CERTIFIED|LOW KMS,23999,Sedan,8.9L/100km,4,4,FWD,4 Cylinder Engine 2.5L,Jet Black Mica,Gas,6.5L/100km,Black,50860,,Used,LP6355,Automatic,GS at 1 OWNER|DILAWRI CERTIFIED|LOW KMS
https://www.autotrader.ca/a/mercedes-benz/e-class/toronto/ontario/5_65693438_20220328175546198/,2020 Mercedes-Benz E450 E 450 4MATIC Coupe | IDP | Tech | White-Black Int,49998,Coupe,12.5L/100km,6,2,AWD,V6 Cylinder Engine,Obsidian Black Metallic,Gas,9.1L/100km,White,49221,4,Used,UD1013,Automatic,E 450 4MATIC Coupe | IDP | Tech | White-Black Int
https://www.autotrader.ca/a/toyota/rav4%20prime/guelph/ontario/5_63619930_20161213191406205/,2021 Toyota RAV4 Prime XSE AWD | Leather | Heated Seats | CarPlay |,42999,SUV,5.7L/100km,4,,4WD,4 Cylinder Engine,White,Gasoline Hybrid,6.4L/100km,,55737,5,Used,JD0140A,CVT,XSE AWD | Leather | Heated Seats | CarPlay |
